ID: 5692549928996306944, Position: (-13.91454792022705, -5.666011333465576, 1.4651504755020142), Name: building, Bounding Box: {'max': [-11.946359634399414, -4.505263328552246, 2.049999952316284], 'min': [-16.39975357055664, -6.81657075881958, -0.75], 'type': 'AABB', 'world_P_center': [-14.173056602478027, -5.660917282104492, 0.6499999761581421], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306945, Position: (-21.24343490600586, -15.554019927978516, 0.9844925999641418), Name: building, Bounding Box: {'max': [-19.106849670410156, -14.935285568237305, 1.0981810092926025], 'min': [-22.166351318359375, -16.950000762939453, 0.4074955880641937], 'type': 'AABB', 'world_P_center': [-20.636600494384766, -15.942643165588379, 0.7528383135795593], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306946, Position: (-18.74448013305664, -17.491058349609375, 1.2196407318115234), Name: building, Bounding Box: {'max': [-18.061399459838867, -17.020450592041016, 1.2940729856491089], 'min': [-19.388141632080078, -17.950000762939453, 0.9433419108390808], 'type': 'AABB', 'world_P_center': [-18.724769592285156, -17.485225677490234, 1.1187074184417725], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306947, Position: (-18.219284057617188, -18.033447265625, 0.12303699553012848), Name: building, Bounding Box: {'max': [-18.110319137573242, -17.977027893066406, 0.9500000476837158], 'min': [-18.350000381469727, -18.08765411376953, -0.6499999761581421], 'type': 'AABB', 'world_P_center': [-18.230159759521484, -18.03234100341797, 0.15000003576278687], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306949, Position: (-19.63585090637207, -4.328564643859863, 1.3771027326583862), Name: pole, Bounding Box: {'max': [-19.537511825561523, -4.209456443786621, 2.8499999046325684], 'min': [-19.78752326965332, -4.420103549957275, 0.31606221199035645], 'type': 'AABB', 'world_P_center': [-19.662517547607422, -4.314780235290527, 1.5830310583114624], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306950, Position: (-27.62903594970703, -20.043962478637695, 0.08721210062503815), Name: building, Bounding Box: {'max': [-26.62026596069336, -16.143348693847656, 1.4500000476837158], 'min': [-28.279752731323242, -24.766447067260742, -1.3303924798965454], 'type': 'AABB', 'world_P_center': [-27.450008392333984, -20.454898834228516, 0.059803783893585205], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306951, Position: (-49.66132354736328, -42.49410629272461, 0.6498566269874573), Name: building, Bounding Box: {'max': [-48.731319427490234, -36.45000076293945, 2.549999952316284], 'min': [-50.498783111572266, -48.39971923828125, -1.288611888885498], 'type': 'AABB', 'world_P_center': [-49.61505126953125, -42.42485809326172, 0.6306940317153931], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306952, Position: (-50.47587966918945, -50.1884651184082, 0.33749786019325256), Name: building, Bounding Box: {'max': [-50.336952209472656, -49.50754165649414, 2.3499999046325684], 'min': [-50.85000228881836, -51.35000228881836, -1.3930683135986328], 'type': 'AABB', 'world_P_center': [-50.593475341796875, -50.42877197265625, 0.4784657955169678], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306954, Position: (-41.63559341430664, -88.97711181640625, -1.1056290864944458), Name: fence, Bounding Box: {'max': [-40.65000534057617, -87.8499984741211, -1.0731298923492432], 'min': [-42.85000228881836, -90.25000762939453, -1.1313307285308838], 'type': 'AABB', 'world_P_center': [-41.750003814697266, -89.05000305175781, -1.1022303104400635], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306955, Position: (-40.71739959716797, -93.13618469238281, -1.1308029890060425), Name: building, Bounding Box: {'max': [-40.35000228881836, -92.35000610351562, -1.094651699066162], 'min': [-41.15000534057617, -93.85000610351562, -1.149999976158142], 'type': 'AABB', 'world_P_center': [-40.750003814697266, -93.10000610351562, -1.1223258972167969], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306956, Position: (-55.323768615722656, -101.55473327636719, -0.5357601046562195), Name: vehicle, Bounding Box: {'max': [-54.68645477294922, -100.61749267578125, 0.06321735680103302], 'min': [-56.289276123046875, -104.4674072265625, -1.25], 'type': 'AABB', 'world_P_center': [-55.48786544799805, -102.54244995117188, -0.5933912992477417], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
ID: 5692549928996306957, Position: (-55.86772918701172, -101.08020782470703, -0.5256240367889404), Name: building, Bounding Box: {'max': [-55.50128936767578, -100.7822036743164, -0.04055306315422058], 'min': [-56.37331008911133, -101.5594482421875, -0.9585064053535461], 'type': 'AABB', 'world_P_center': [-55.93730163574219, -101.17082214355469, -0.49952971935272217], 'world_R_center': {'w': 1.0, 'x': 0.0, 'y': 0.0, 'z': 0.0}}
